token,doc_ids,freq
esports,"doc_001,doc_002,doc_003,doc_004,doc_005",5
championship,"doc_002,doc_004",2
launch,doc_005,1
finals,doc_001,1
title,doc_003,1
offensive,doc_003,1
global,doc_003,1
legends,doc_002,1
rapidly,doc_005,1
its,doc_005,1
dominant,doc_003,1
grown,doc_005,1
teams,doc_001,1
league,doc_002,1
tournament,doc_001,1
dota,doc_004,1
valorant,doc_005,1
remains,doc_003,1
best,doc_001,1
featuring,doc_001,1
premier,doc_004,1
most,doc_002,1
event,doc_002,1
counterstrike,doc_003,1
since,doc_005,1
watched,doc_002,1
2,doc_004,1
international,doc_004,1
